col_1,col_2,class
1983,1,1
1983,2,0
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0
1983,8,0
1983,9,0
1983,10,0
1983,11,1
1983,12,1
1983,13,1
1983,14,1
1983,15,0
1983,16,0
1983,17,1
1983,18,0
1983,19,0
1983,20,1
1983,21,1
1983,22,0
1983,23,0
1983,24,0
1983,25,0
1983,26,0
1983,27,0
1983,28,0
1983,29,0
1983,30,0
1983,31,0
1983,32,0
1983,33,0
1983,34,0
1983,35,0
1983,36,0
1983,37,0
1983,38,0
1983,39,0
1983,40,0
1983,41,0
1983,42,0
1983,43,0
1983,44,0
1983,45,0
1983,46,1
1983,47,1
1983,48,1
1983,49,1
1983,50,1
1983,51,1
1983,52,1
1984,1,1
1984,2,1
1984,3,0
1984,4,0
1984,5,1
1984,6,0
1984,7,0
1984,8,0
1984,9,0
1984,10,0
1984,11,0
1984,12,1
1984,13,0
1984,14,1
1984,15,1
1984,16,0
1984,17,0
1984,18,0
1984,19,1
1984,20,0
1984,21,0
1984,22,0
1984,23,0
1984,24,0
1984,25,0
1984,26,0
1984,27,0
1984,28,0
1984,29,0
1984,30,0
1984,31,0
1984,32,0
1984,33,0
1984,34,0
1984,35,0
1984,36,1
1984,37,0
1984,38,0
1984,39,1
1984,40,1
1984,41,0
1984,42,1
1984,43,1
1984,44,1
1984,45,0
1984,46,0
1984,47,0
1984,48,0
1984,49,0
1984,50,1
1984,51,1
1984,52,1
1985,1,1
1985,2,1
1985,3,1
1985,4,1
1985,5,1
1985,6,1
1985,7,1
1985,8,1
1985,9,1
1985,10,1
1985,11,1
1985,12,1
1985,13,1
1985,14,1
1985,15,1
1985,16,1
1985,17,1
1985,18,1
1985,19,1
1985,20,1
1985,21,1
1985,22,0
1985,23,1
1985,24,0
1985,25,0
1985,26,0
1985,27,0
1985,28,0
1985,29,0
1985,30,0
1985,31,0
1985,32,0
1985,33,0
1985,34,1
1985,35,1
1985,36,1
1985,37,0
1985,38,0
1985,39,0
1985,40,0
1985,41,0
1985,42,0
1985,43,0
1985,44,0
1985,45,0
1985,46,1
1985,47,1
1985,48,1
1985,49,1
1985,50,1
1985,51,1
1985,52,1
1986,1,1
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,1
1986,7,1
1986,8,1
1986,9,1
1986,10,1
1986,11,1
1986,12,1
1986,13,1
1986,14,1
1986,15,1
1986,16,1
1986,17,1
1986,18,1
1986,19,1
1986,20,1
1986,21,1
1986,22,1
1986,23,1
1986,24,1
1986,25,1
1986,26,1
1986,27,1
1986,28,1
1986,29,1
1986,30,1
1986,31,1
1986,32,1
1986,33,1
1986,34,1
1986,35,1
1986,36,1
1986,37,1
1986,38,1
