focal_de1th,latitude,longitude,class
33,-52.26,28.3,0
36,45.53,150.93,1
57,41.85,142.78,1
67,29.19,141.15,0
30,-21.66,169.81,0
0,23.09,120.58,0
139,-20.7,169.92,0
60,22.33,93.58,0
50,-13.64,165.96,0
119,-16.31,-71.66,0
197,36.48,70.95,0
13,55.72,-155.95,0
26,55.75,-155.88,1
58,-5.14,151.77,0
33,-44.6,37.34,0
0,-44.2,167.96,1
27,36.23,-7.61,0
50,36.95,95.5,1
46,14.42,56.36,1
373,-6.44,127.96,1
44,59.79,-149.3,0
33,57.2,-153,1
4,58.26,-151.25,0
17,58.83,-149.29,0
23,56.42,-152.01,0
26,57.17,-152.45,0
32,60.05,-148.39,1
160,0.4,122.11,0
25,56.45,-153.94,0
12,60.36,-146.61,0
10,60.51,-146.7,0
35,59.79,-148.67,0
22,56.65,-152.82,1
51,3.91,96.56,1
41,61.62,-147.39,1
36,60.11,-146.71,1
14,56.85,-152.69,1
24,56.3,-154.4,1
2,60.25,-146.71,1
184,0.02,123.18,1
22,56.6,-152.21,1
6,61.51,-147.2,1
33,-5.42,133.99,0
99,-5.07,144.2,0
23,45.35,150.5,1
49,-3.88,35.06,0
22,40.39,139.05,0
16,40.55,139.21,1
49,-2.73,139.33,1
114,-56.45,-27.7,1
101,-56.09,-27.55,1
54,-56.17,-27.66,0
42,43.43,147.05,0
12,38.4,139.26,0
76,43.16,146.17,0
7,-1.76,149.75,1
15,-0.5,122.61,1
26,11.7,144.57,0
96,18.31,-100.5,0
189,-5.54,129.79,0
127,-15.56,167.62,0
20,47.09,153.77,1
7,46.96,153.8,1
4,47.09,153.72,1
4,-27.82,-71.1,0
22,14.17,96.12,1
7,-41.13,-74.99,0
392,-5.48,154.25,1
32,-26.37,-71.78,0
34,78.15,126.65,0
107,-4.42,144.08,0
33,-48.95,164.46,0
89,8.9,93.03,0
50,29.96,80.46,1
41,-10.42,162.42,1
34,40.3,28.23,1
14,-31.4,-110.84,1
585,-7.17,123.86,1
37,28.04,93.75,1
43,19.8,-56.11,0
2,-45.6,96.19,1
77,3.11,128.06,1
33,-31.78,57.32,1
60,-5.75,150.74,0
31,-20.46,-173.89,1
3,-6,150.75,1
607,-4.34,122.14,1
578,-27.46,-63.23,1
25,40.49,139.05,1
33,-20.45,-174.04,1
32,-13.49,166.54,1
23,27.4,87.84,1
0,49.88,78.96,1
94,-56.46,-27.05,1
6,-2.4,125.98,0
23,-2.64,126.04,1
33,-51.7,139.8,1
36,51.29,178.55,0
40,51.39,179.59,0
30,52.74,172.05,1
40,53.05,170.83,1
16,52.37,174.33,1
43,53.14,-161.85,0
32,52.05,175.6,1
33,53.26,-161.74,0
45,51.34,173.44,1
17,28.62,142.42,1
28,52.73,171.99,1
91,2.97,125.91,1
36,-25.67,-70.63,0
41,-5.43,151.97,1
33,-5.36,151.86,0
14,53.02,171.35,1
205,36.42,70.73,0
36,40.75,142.96,1
37,-1.47,126.5,1
58,-31.81,-71.26,0
22,55.2,162,1
68,-32.42,-71.1,0
41,40.73,142.85,0
20,50.32,177.93,0
45,38.38,22.26,0
39,35.06,24.31,1
12,-42.66,174.02,1
5,64.69,-160.23,1
51,54.25,-162.51,1
29,21,120.68,1
116,-7.02,129.61,1
60,47.41,-122.29,0
88,-55.99,-27.62,1
136,-6.2,130.33,1
80,22.41,121.26,0
3,-14.6,167.41,1
31,52.17,175.17,1
98,-56.24,-27.9,1
19,-7.53,128.6,1
27,15.93,-46.69,1
58,44.45,148.84,0
58,7.21,123.53,1
33,-54.59,5.4,1
40,53.03,-167.55,0
18,38.37,22.4,1
18,51.11,-171.3,0
33,-55.9,157.7,0
50,-7.31,-81.27,1
59,-5.21,151.65,1
14,-15.47,166.91,1
31,-15.75,167.12,0
26,-15.86,167.36,1
38,-5.25,152.13,1
36,-0.47,-19.93,0
328,-5.74,128.63,0
79,-18.84,-68.75,1
64,-22.91,-176.05,1
29,16.33,-95.8,0
30,58.29,-152.5,0
22,6.51,-84.44,1
55,-5.33,153.08,0
30,-6.37,151.66,1
62,-6.46,70.76,0
178,7.13,126.58,1
161,-1.4,-77.7,1
41,36.35,141.38,0
195,28.96,128.23,0
45,36.44,141.37,1
33,-54.74,-38.3,1
5,50.02,178.28,0
52,49.45,156.58,1
28,-42.9,-75.13,0
26,12.46,114.45,1
159,44.21,145.45,0
587,-9.04,-71.32,1
35,-22.34,-113.98,1
50,30.68,140.22,1
29,43.87,87.74,0
46,-29.34,-68.09,1
21,31,-41.53,1
50,53.89,160.68,0
122,-7.28,129.16,1
101,-6.21,130.39,0
41,51.32,-179.67,1
19,-9.61,159.77,1
118,-6.39,146.31,1
58,17.35,-100.04,1
38,58.35,-153.13,0
121,50.04,155.38,1
29,20.73,146.29,1
0,49.77,78.1,0
35,-17.66,167.96,0
7,-32.2,78.93,0
59,-5.41,151.57,0
53,48.29,154.36,1
50,31.49,80.5,0
17,1.85,126.4,1
42,24.24,122.67,0
627,-21.08,-179.15,1
34,0.81,29.9,0
0,49.72,78.07,0
28,37.49,115.06,1
40,23.86,122.97,0
61,23.72,142.18,1
61,51.24,157.76,0
23,57.37,-152.27,1
27,-0.78,122.22,0
75,-0.52,122.21,1
33,-52.77,160.17,0
22,-23.4,-174.72,1
214,36.43,71.12,0
37,11.26,139.57,0
242,-12.23,167.02,0
34,-10.43,160.89,0
20,-10.15,161.01,0
523,-7.21,124.69,0
33,29.62,80.83,0
36,29.71,80.89,0
102,24.86,122.56,0
16,51.99,179.95,1
29,50.57,-171.22,0
59,-0.1,125.01,0
11,-0.05,125.06,0
26,39.17,41.56,1
39,8.48,126.62,1
90,2.34,128.4,0
17,-23,170.6,1
27,-60.33,-27.25,1
39,27.87,54.3,1
165,-21.59,170.56,0
35,-60.44,-26.44,1
38,-10.74,-78.63,0
42,-1.52,-15.37,0
0,73.4,54.57,0
44,22.11,145.9,0
1,38.9,21.1,1
110,-31.95,-68.4,1
16,41.68,144.26,1
136,-14.03,167.04,0
0,49.92,77.76,1
571,-26.06,-63.1,1
46,-7.11,148.31,0
23,-25.51,-70.74,0
23,-15.16,-173.64,1
24,48.22,102.9,0
39,38.33,142.2,1
5,56.68,120.95,0
33,-14.83,-178.75,0
21,48.08,103.02,0
42,52.4,-169.54,0
1,24,-65.7,0
36,2.93,-74.83,0
598,-9.05,-71.34,0
21,-23.79,-175.14,0
88,-9.12,113.04,1
105,-0.09,123.95,1
126,-0.13,123.95,1
0,49.79,78.14,0
122,-0.16,-78.6,1
60,39.25,24.6,0
38,-10.64,166.29,1
50,-10.75,166.34,1
48,-10.77,166.25,1
33,-40.12,-74.68,1
80,-6.73,129.84,0
38,45.53,151.11,1
606,-6.01,112.33,1
33,-11.14,115.36,0
