Name,Instances,Features,PosClassRatio,NTestCE,M1TestCE,M2TestCE,PTestCE,SKTestCE,NTrainCE,M1TrainCE,M2TrainCE,PTrainCE,SKTrainCE,NTestAcc,M1TestAcc,M2TestAcc,PTestAcc,SKTestAcc,NTrainAcc,M1TrainAcc,M2TrainAcc,PTrainAcc,SKTrainAcc,NConverge,M1Converge,M2Converge,PConverge,SKConverge,N_CE_diff,M1_CE_diff,M2_CE_diff,P_CE_diff,SK_CE_diff
Datasets\aecoli.csv,336.0,5.0,0.4255952380952381,0.6925648276517967,0.692569732380648,0.6925693808836467,0.6925767984021556,1.3214163275807629,0.6912588098757667,0.6912561878656299,0.6912693673384578,0.6912956832098727,0.12344163948880829,55.64356435643565,55.64356435643565,55.64356435643565,55.64356435643565,55.64356435643565,93.87234042553192,93.5744680851064,93.87234042553192,93.91489361702128,96.17021276595746,528.3,527.5,525.4,527.2,0.0,0.0013060177760300107,0.0013135445150180836,0.0013000135451889383,0.0012811151922829112,1.1979746880919546
Datasets\balloon.csv,2001.0,1.0,0.24087956021989004,0.6921339119957357,0.6922650046083628,0.6920957971913794,0.6921154456345964,1.3556353718569745,0.6925075275223793,0.6926967897412661,0.6924898814750098,0.6925054917610832,0.3721684045161476,74.9251247920133,74.9251247920133,74.9251247920133,74.9251247920133,74.9251247920133,82.06428571428572,79.07142857142857,82.19999999999999,82.6,83.29285714285716,536.4,540.2,538.7,533.8,0.0,-0.0003736155266436114,-0.0004317851329033173,-0.0003940842836304137,-0.00039004612648685377,0.983466967340827
Datasets\banana.csv,5300.0,2.0,0.4483018867924528,0.6931152368752552,0.6931221276137496,0.693119246570576,0.6931189383824419,0.6852005049024484,0.6931152770076116,0.6931206427381755,0.6931168054685563,0.6931172577325517,0.6840617917035424,53.28930817610062,50.955974842767304,53.76100628930817,52.698113207547166,55.59748427672956,53.14016172506739,51.382749326145564,53.97843665768194,52.735849056603776,56.097035040431265,618.9,677.9,610.4,617.5,0.0,-4.013235632704948e-08,1.4848755740537456e-06,2.441102019745678e-06,1.6806498901456024e-06,0.0011387131989060162
Datasets\chscase_vine2.csv,468.0,2.0,0.5470085470085471,0.6941750636140254,0.6932637922607305,0.6915376951754262,0.6980934131276577,32.612923728971516,0.693122356185669,0.6931361347051805,0.6931240285615624,0.6931216065220074,0.6852790774165245,52.624113475177296,52.269503546099294,51.34751773049645,51.34751773049645,52.05673758865248,53.91437308868501,53.73088685015291,53.51681957186544,54.25076452599389,54.159021406727824,677.1,720.5,627.4,635.0,0.0,0.001052707428356392,0.00012765755554999814,-0.0015863333861362294,0.004971806605650331,31.927644651554992
Datasets\cleve.csv,303.0,13.0,0.45544554455445546,0.6843153138551318,0.6845710605254786,0.6861059447605818,0.6846497584763296,9.029883077439774,0.6915895653852355,0.691597229112645,0.6915581996376401,0.6916180525678097,0.37497533731360566,63.73626373626373,64.72527472527473,61.208791208791204,65.82417582417582,63.18681318681318,80.51886792452831,80.70754716981132,80.3301886792453,80.37735849056604,83.20754716981133,535.4,535.9,531.2,536.9,0.0,-0.007274251530103748,-0.007026168587166426,-0.005452254877058249,-0.006968294091480143,8.654907740126168
Datasets\dataset_37_diabetes.csv,768.0,8.0,0.3489583333333333,0.7230969960531802,0.7216658051521843,0.722930741859036,0.7228371092933774,13.282548001005068,0.6924318244229661,0.692431448983035,0.6924283883864238,0.6924370478806497,0.4589469014968667,35.8008658008658,35.8008658008658,35.8008658008658,35.8008658008658,35.84415584415584,75.53072625698323,75.66108007448788,74.8975791433892,75.54934823091249,78.28677839851024,535.3,540.2,538.8,536.9,0.0,0.030665171630214094,0.029234356169149267,0.03050235347261221,0.030400061412727664,12.8236010995082
Datasets\delta_ailerons.csv,7129.0,5.0,0.5306494599523075,0.6931376469579276,0.6931360295638578,0.6931353951760257,0.6931354679969822,0.6826801129981913,0.6919785540642318,0.6919855975159497,0.691974805006651,0.6919743689537445,0.1970600003159807,59.401589527816725,53.08555399719495,53.08555399719495,53.08555399719495,53.47826086956521,91.10821643286575,91.28456913827654,91.05010020040079,91.0801603206413,93.89779559118239,525.0,526.9,525.5,525.5,0.0,0.0011590928936957567,0.001150432047908101,0.0011605901693747533,0.00116109904323769,0.4856201126822106
Datasets\eegeyestate.csv,14980.0,14.0,0.4487983978638184,4.009351823901014,1.9448770876795638,1.6328804450585832,1.7852658310547214,inf,0.6930905493036799,0.6931715645879754,0.6931021686848254,0.6930944724533838,0.6494755465851197,45.82109479305742,51.01913662661326,47.85491766800178,48.072986203827334,46.90698709390298,57.483311081441926,49.028228113675375,56.96738508487507,57.318329200839216,61.19015830631319,649.2,566.5,616.1,637.4,0.0,3.316261274597334,1.2517055230915886,0.9397782763737578,1.0921713586013375,inf
Datasets\fri_c0_1000_5.csv,1000.0,5.0,0.503,0.6925059600057846,0.692527833903204,0.6925226347486296,0.6925204439047723,0.36709036314534826,0.6925035384816909,0.6925236389482003,0.6925248015469453,0.692519155167552,0.3541026653914284,84.3,84.26666666666668,84.33333333333334,84.56666666666668,84.83333333333334,84.65714285714284,84.77142857142857,84.38571428571427,84.78571428571429,84.82857142857142,539.3,543.8,536.6,538.1,0.0,2.421524093687566e-06,4.1949550037001515e-06,-2.1667983156614667e-06,1.2887372202730063e-06,0.012987697753919891
Datasets\MagicTelescope.csv,19020.0,10.0,0.3516298633017876,0.6932435623073182,0.7016393586937033,0.6956512705221746,0.6971848436470961,13.404972979370209,0.6924445714193974,0.6923026212131054,0.6924407698604627,0.6924279440956855,0.45744465813708546,35.60462670872765,35.31370487206449,36.645636172450054,35.322467577988085,35.31370487206449,76.535977166892,70.40483701366982,75.38455760853238,75.86074808472286,79.14150518251465,536.9,532.5,539.3,543.0,0.0,0.0007989908879207919,0.009336737480597934,0.0032105006617119125,0.004756899551410565,12.947528321233124
